500,478,498,432,490
250,240,249,217,245
315,353,505,481,492
158,177,253,241,247
489,501,491,501,501
245,251,246,251,251
489,501,503,503,445
245,251,252,252,223
481,499,492,499,496
240,250,246,249,248
2,2,0,0,0
493,494,484,501,596
247,248,242,251,298
589,578,604,500,559
295,290,303,250,280
595,599,599,587,592
298,300,300,295,296
587,583,603,597,585
294,292,302,299,293
605,539,525,595,561
303,270,263,298,281
2,2,0,0,0
581,604,608,603,581
291,303,304,301,291
601,600,581,600,605
301,301,291,300,303
491,598,602,578,604
246,300,301,290,302
599,579,567,575,538
300,290,284,288,270
571,605,596,585,437
286,303,298,292,219
2,2,0,0,0
595,593,609,605,559
298,297,305,303,280
593,604,591,607,590
297,302,295,304,296
7,0,0,0,0
7,0,0,0,0
580,597,539,539,576
289,298,270,270,289
599,591,594,603,609
300,296,297,301,305
1,0,0,0,0
587,609,551,584,607
294,305,276,292,303
2,2,0,0,0
578,485,550,590,589
289,242,275,294,294
523,609,607,590,610
262,305,304,295,304
595,589,597,599,608
298,295,299,300,304
549,552,466,579,601
275,277,233,290,301
509,530,559,535,539
255,265,279,268,270
2,2,0,0,0
503,520,550,554,496
251,261,275,277,247
540,571,592,592,573
271,285,296,296,287
592,559,590,588,599
1,0,0,0,0
296,281,296,294,300
592,585,492,571,577
296,293,246,285,289
564,589,601,602,586
282,295,301,302,293
3,1,0,0,0
600,598,596,588,596
301,299,299,294,298
493,553,599,597,584
247,277,300,299,292
602,587,549,586,593
300,293,275,294,296
580,585,587,511,461
290,293,294,256,231
581,571,527,561,597
291,286,264,281,299
3,1,0,0,0
593,593,509,583,541
297,297,255,292,271
512,588,591,505,578
256,294,296,253,290
601,605,580,580,599
301,303,291,290,300
575,539,563,580,528
288,270,282,291,264
565,495,525,579,573
283,248,263,290,287
3,1,0,0,0
564,599,595,601,537
282,300,298,301,269
593,584,586,540,575
296,293,293,270,287
501,569,531,567,599
251,285,266,284,300
595,585,597,590,596
298,293,299,296,298
597,607,599,583,507
299,304,300,292,254
3,1,0,0,0
